Value,Date
2017-03-06,1.5962
2017-03-03,1.6092
2017-03-02,1.6043
2017-03-01,1.5944
2017-02-28,1.5821
2017-02-27,1.6231
2017-02-24,1.6646
2017-02-23,1.6708
2017-02-22,1.6739
2017-02-21,1.6511
2017-02-20,1.651
2017-02-17,1.6403
2017-02-16,1.6256
2017-02-15,1.6204
2017-02-14,1.6303
2017-02-13,1.6406
2017-02-10,1.6342
2017-02-09,1.6078
2017-02-08,1.6118
2017-02-07,1.6268
2017-02-06,1.6497
2017-02-03,1.6482
2017-02-02,1.6881
2017-02-01,1.6753
2017-01-31,1.6957
2017-01-30,1.697
2017-01-27,1.686
2017-01-26,1.7055
2017-01-25,1.6997
2017-01-24,1.7276
2017-01-23,1.6968
2017-01-20,1.6717
2017-01-19,1.6596
2017-01-18,1.6673
2017-01-17,1.6567
2017-01-16,1.6595
2017-01-13,1.656
2017-01-12,1.6501
2017-01-11,1.6386
2017-01-10,1.6035
2017-01-09,1.5922
2017-01-06,1.6025
2017-01-05,1.5814
2017-01-04,1.534
2017-01-03,1.5355
