Value,Date
2017-03-07,1.01
2017-03-06,1.02
2017-03-03,1.03
2017-03-02,1.03
2017-03-01,1.02
2017-02-28,1.02
2017-02-27,1
2017-02-24,1
2017-02-23,1.02
2017-02-22,1.03
2017-02-21,1.01
2017-02-20,1.02
2017-02-17,1.02
2017-02-15,1.04
2017-02-13,1.03
2017-02-10,1.03
2017-02-08,1.02
2017-02-07,1.01
2017-02-06,1
2017-02-03,1.01
2017-02-02,1.02
2017-02-01,1
2017-01-31,1
2017-01-30,0.99
2017-01-27,1
2017-01-26,1
2017-01-25,1.01
2017-01-24,1.01
2017-01-23,1.02
2017-01-18,1.02
2017-01-17,1.01
2017-01-16,0.99
2017-01-12,0.99
2017-01-11,0.98
2017-01-10,0.99
2017-01-09,0.98
2017-01-06,0.99
2017-01-05,1
2017-01-04,0.99
2017-01-03,0.99
