Value,Date
2017-03-06,4.75
2017-03-03,4.5
2017-03-02,4.48
2017-03-01,4.45
2017-02-28,4.25
2017-02-27,4.21
2017-02-24,4.12
2017-02-23,4.25
2017-02-22,4.11
2017-02-21,4.05
2017-02-17,3.98
2017-02-16,4.15
2017-02-15,4.15
2017-02-14,4.18
2017-02-13,4.2
2017-02-10,4.02
2017-02-09,4.07
2017-02-08,3.85
2017-02-07,4
2017-02-06,3.99
2017-02-03,4.01
2017-02-02,3.98
2017-02-01,4.04
2017-01-31,3.94
2017-01-30,4.2
2017-01-27,4.19
2017-01-26,4.11
2017-01-25,3.93
2017-01-24,3.85
2017-01-23,3.92
2017-01-20,3.75
2017-01-19,3.65
2017-01-18,3.51
2017-01-17,3.39
2017-01-13,3.38
2017-01-12,3.37
2017-01-11,3.42
2017-01-10,3.41
2017-01-09,3.4
2017-01-06,3.38
2017-01-05,3.4
2017-01-04,3.41
2017-01-03,3.5
