Value,Date
2017-03-07,17.7
2017-03-06,17.81
2017-03-03,17.66
2017-03-02,18.33
2017-03-01,18.33
2017-02-28,18.28
2017-02-27,18.34
2017-02-24,18.27
2017-02-23,18
2017-02-22,18
2017-02-21,17.89
2017-02-20,17.98
2017-02-17,18.005
2017-02-16,18.1
2017-02-15,17.88
2017-02-14,17.905
2017-02-13,17.97
2017-02-10,17.62
2017-02-09,17.715
2017-02-08,17.74
2017-02-07,17.6
2017-02-06,17.6
2017-02-03,17.28
2017-02-02,17.71
2017-02-01,17.6
2017-01-31,17.29
2017-01-30,17.1
2017-01-27,16.7
2017-01-26,16.86
2017-01-25,16.93
2017-01-24,17.105
2017-01-23,17.14
2017-01-20,16.89
2017-01-19,16.95
2017-01-18,17.12
2017-01-17,17
2017-01-16,16.82
2017-01-13,16.76
2017-01-12,16.91
2017-01-11,16.79
2017-01-10,16.665
2017-01-09,16.52
2017-01-06,16.45
2017-01-05,16.59
2017-01-04,16.42
2017-01-03,15.95
