Value,Date
2017-03-07,2.24
2017-03-06,2.26
2017-03-03,2.21
2017-03-02,2.19
2017-03-01,2.24
2017-02-28,2.23
2017-02-27,2.27
2017-02-24,2.28
2017-02-23,2.36
2017-02-22,2.4
2017-02-21,2.08
2017-02-20,2.06
2017-02-17,2.06
2017-02-16,2.11
2017-02-15,2.11
2017-02-14,2.12
2017-02-13,2.1
2017-02-10,2.09
2017-02-09,2.12
2017-02-08,2.13
2017-02-07,2.03
2017-02-06,2.02
2017-02-03,2.02
2017-02-02,2.02
2017-02-01,2.01
2017-01-27,2.03
2017-01-26,1.96
2017-01-25,1.98
2017-01-24,2.08
2017-01-23,2
2017-01-20,1.93
2017-01-19,2.14
2017-01-18,2.14
2017-01-17,2.15
2017-01-16,2.15
2017-01-13,2.19
2017-01-12,2.17
2017-01-11,2.2
2017-01-10,2.28
2017-01-09,2.27
2017-01-06,2.35
2017-01-05,2.38
2017-01-04,2.4
2017-01-03,2.42
2016-12-30,2.26
2016-12-29,2.21
2016-12-28,2.2
2016-12-23,2.19
2016-12-22,2.18
2016-12-21,2.18
2016-12-20,2.22
2016-12-19,2.28
2016-12-16,2.25
2016-12-15,2.29
2016-12-14,2.33
2016-12-13,2.37
2016-12-12,2.3
2016-12-09,2.35
2016-12-08,2.35
2016-12-07,2.35
2016-12-06,2.29
2016-12-05,2.46
2016-12-02,2.47
2016-12-01,2.48
2016-11-30,2.47
2016-11-29,2.49
2016-11-28,2.5
2016-11-25,2.49
2016-11-24,2.49
2016-11-23,2.51
2016-11-22,2.51
2016-11-21,2.5
2016-11-18,2.48
2016-11-17,2.48
2016-11-16,2.5
2016-11-15,2.5
2016-11-14,2.52
2016-11-11,2.49
2016-11-10,2.48
2016-11-09,2.39
2016-11-08,2.48
2016-11-07,2.5
2016-11-04,2.5
2016-11-03,2.48
2016-11-02,2.48
2016-11-01,2.57
2016-10-31,2.48
2016-10-28,2.49
2016-10-27,2.49
2016-10-26,2.48
2016-10-25,2.48
2016-10-24,2.43
2016-10-21,2.43
2016-10-20,2.43
2016-10-19,2.43
2016-10-18,2.45
2016-10-17,2.45
2016-10-14,2.46
2016-10-13,2.43
2016-10-12,2.42
2016-10-11,2.46
2016-10-07,2.48
2016-10-06,2.46
2016-10-05,2.36
2016-10-04,2.34
2016-10-03,2.33
2016-09-30,2.32
2016-09-29,2.36
2016-09-28,2.34
2016-09-27,2.31
2016-09-26,2.29
2016-09-23,2.39
2016-09-22,2.37
2016-09-21,2.42
2016-09-20,2.39
2016-09-19,2.3
2016-09-15,2.32
2016-09-14,2.2
2016-09-13,2.21
2016-09-12,2.38
2016-09-09,2.46
2016-09-08,2.32
2016-09-07,2.34
2016-09-06,2.32
2016-09-05,2.36
2016-09-02,2.34
2016-09-01,2.34
2016-08-31,2.16
2016-08-30,2.16
2016-08-29,2.15
2016-08-26,2.12
2016-08-25,2.13
2016-08-24,2.05
2016-08-23,2.07
2016-08-22,2.09
2016-08-19,2.12
2016-08-18,2.13
2016-08-17,2.11
2016-08-16,2.16
2016-08-15,2.08
2016-08-12,2.09
2016-08-11,2.09
2016-08-10,2.15
2016-08-09,2.05
2016-08-08,2.11
2016-08-05,1.91
2016-08-04,1.66
2016-08-03,1.64
2016-08-02,1.66
2016-08-01,1.66
2016-07-29,1.63
2016-07-28,1.66
2016-07-27,1.63
2016-07-26,1.7
2016-07-25,1.66
2016-07-22,1.67
2016-07-21,1.67
2016-07-20,1.67
2016-07-19,1.65
2016-07-18,1.68
2016-07-15,1.7
2016-07-14,1.7
2016-07-13,1.69
2016-07-12,1.7
2016-07-11,1.69
